month,original,trend,seasonal,residual
2013-01,1.0,0.40406719916542844,-0.20026180024956852,0.7961946010841402
2013-02,1.0,0.686573471577141,-0.44945658154768864,0.7628831099705478
2013-03,1.0,0.974666290919289,-0.19149005388416607,0.21682376296487693
2013-04,1.0,1.2678402589733269,-0.04118260565437172,-0.22665765331895504
2013-05,1.0,1.5652723217114564,-0.8604588187073582,0.29518649699590194
2013-06,1.0,1.8659946438295565,0.13780020522102476,-1.0037948490505813
2013-07,1.0,2.168801457497031,1.7481080599606598,-2.916909517457691
2013-08,1.0,2.4729360717425375,-3.882866062001675,2.4099299902591373
2013-09,1.0,2.7789162801474507,-1.1538235094272316,-0.6250927707202192
2013-10,1.0,3.0871775543853808,-1.387763541765491,-0.69941401261989
2013-11,6.0,3.4012067745576666,3.290080485507354,-0.6912872600650206
2013-12,5.0,3.7423246955825165,0.587994695857853,0.6696806085596303
2014-01,3.0,4.1649579409765565,-0.04075200964751183,-1.1242059313290444
2014-02,6.0,4.6187177994867055,0.12777936187876265,1.2535028386345317
2014-03,6.0,5.095299122923099,0.972763206002025,-0.06806232892512387
2014-04,4.0,5.582002257865785,0.05657139271323931,-1.638573650579024
2014-05,5.0,6.056289619782517,-0.9797776662742077,-0.07651195350830964
2014-06,7.0,6.520150151061024,0.5917418726727137,-0.11189202373373774
2014-07,12.0,7.002561456520835,3.936110625864471,1.061327917614694
2014-08,4.0,7.512157588527689,-2.483791335673996,-1.0283662528536937
2014-09,6.0,8.068187374059356,-1.474445408531942,-0.5937419655274141
2014-10,7.0,8.689762590279045,-3.8711046609154454,2.1813420706364006
2014-11,9.0,9.364725161262916,0.07979773893608419,-0.44452290019900076
2014-12,10.0,10.084564745728889,0.5451030144611555,-0.6296677601900438
2015-01,11.0,10.839323530660996,0.3126011454642629,-0.15192467612525995
2015-02,6.0,11.622024970969118,1.011860647131917,-6.633885618101035
2015-03,12.0,12.418482270626203,1.9935484766286091,-2.4120307472548124
2015-04,17.0,13.228583243269265,0.017376284315862106,3.7540404724148733
2015-05,11.0,14.064829622464652,-1.1080552477642265,-1.9567743747004247
2015-06,17.0,14.950205232092953,0.8620762158822883,1.1877185520247568
2015-07,26.0,15.894136867025258,5.790136405822614,4.315726727152127
2015-08,10.0,16.912037871236528,-0.7196891388482646,-6.192348732388263
2015-09,18.0,18.003058330206446,-1.902094310102359,1.8990359798959133
2015-10,11.0,19.144788647149483,-6.162879625311663,-1.9819090218378186
2015-11,19.0,20.308748715730616,-3.2439750245194587,1.9352263087888417
2015-12,19.0,21.474755280994504,0.43437021841257467,-2.9091254994070788
2016-01,22.0,22.627809025297385,1.2910838227314732,-1.9188928480288574
2016-02,24.0,23.789664856205324,2.1599299590125827,-1.9495948152179068
2016-03,31.0,24.99533527060401,2.624653902750181,3.380010826645808
2016-04,24.0,26.25795363062519,0.006931649383835947,-2.264885280009029
2016-05,28.0,27.59835367061365,-1.2532962918491422,1.6549426212354916
2016-06,31.0,29.008415778598707,1.0104991653341844,0.9810850560671085
2016-07,38.0,30.454173431124183,6.988790804663974,0.5570357642118431
2016-08,47.0,31.88924115486584,0.8489043682773014,14.261854476856858
2016-09,30.0,33.26904095612343,-2.3147803700686276,-0.9542605860548079
2016-10,23.0,34.59374986045747,-8.358380081352507,-3.235369779104964
2016-11,28.0,35.881338211701284,-6.7371652333739664,-1.144172978327319
2016-12,41.0,37.156056269457885,0.17663860453164085,3.6673051260104756
2017-01,29.0,38.44747991712987,3.3341061822766767,-12.781586099406546
2017-02,48.0,39.75872794297121,4.163676753097866,4.07759530393092
2017-03,61.0,41.0888932282585,2.9358509798517916,16.97525579188971
2017-04,42.0,42.450231693697134,-0.30072936531934324,-0.14950232837779254
2017-05,41.0,43.82341485699509,-0.40820322219939575,-2.4152116347956962
2017-06,44.0,45.1741935316113,0.19055241140392712,-1.3647459430152296
2017-07,51.0,46.48009942168617,4.698914670025584,-0.17901409171175686
2017-08,53.0,47.74700337591518,4.174585449694821,1.0784111743899985
2017-09,45.0,49.024844532181426,-3.147989910747102,-0.876854621434326
2017-10,43.0,50.36881168070665,-10.132735010610078,2.7639233299034274
2017-11,41.0,51.804635362740086,-7.021960217419012,-3.782675145321072
2017-12,53.0,53.3036654725273,-0.750084581248253,0.4464191087209528
2018-01,62.0,54.835555239716754,5.412030497696901,1.752414262586342
2018-02,49.0,56.3649705994422,5.235688498187006,-12.600659097629205
2018-03,58.0,57.85865985317982,2.1276323589136448,-1.986292212093467
2018-04,38.0,59.33996192546614,0.7091552567175874,-22.04911718218373
2018-05,61.0,60.8545669027328,0.7136821666172636,-0.5682490693500597
2018-06,62.0,62.43020604506034,-0.8493561996871918,0.41915015462685545
2018-07,48.0,64.03851842168642,0.5040661320870349,-16.54258455377345
2018-08,75.0,65.66591974367897,6.834023104034574,2.500057152286459
2018-09,64.0,67.3115922088753,-2.1246463910439983,-1.186945817831301
2018-10,83.0,68.95596284857321,-11.203709599193878,25.247746750620664
2018-11,82.0,70.56719425211088,-5.356622652701714,16.789428400590836
2018-12,68.0,72.07564156884102,1.2293613942265267,-5.305002963067551
2019-01,80.0,73.4548917566092,3.336412106294345,3.208696137096453
2019-02,81.0,74.77826520054046,5.116821553625071,1.1049132458344673
2019-03,83.0,76.10451782916692,-0.3271219190020376,7.222604089835116
2019-04,78.0,77.4488684870895,2.8692243292382305,-2.3180928163277343
2019-05,83.0,78.86141916658454,1.6396338689667507,2.498946964448706
2019-06,107.0,80.40129754954634,-4.018636195141275,30.617338645594927
2019-07,128.0,82.11704421922848,-2.2785530672114165,48.161508847982944
2019-08,86.0,83.98040639827377,8.530245844860554,-6.510652243134331
2019-09,82.0,85.89569980252656,1.5910853874489261,-5.4867851899754925
2019-10,73.0,87.84238006441598,-11.72528753268967,-3.117092531726314
2019-11,88.0,89.87211411111463,-2.1090519538498462,0.236937842735216
2019-12,85.0,92.09595563879556,5.1538498797943095,-12.249805518589866
2020-01,112.0,94.58300162352384,-2.8860467717676723,20.303045148243825
2020-02,100.0,97.33460208446955,3.384259503675244,-0.7188615881447902
2020-03,94.0,100.2916179714411,-2.663366504592398,-3.6282514668486954
2020-04,110.0,103.33421607201238,4.984414674357603,1.6813692536300096
2020-05,109.0,106.35868583747906,1.8116657776143694,0.8296483849065766
2020-06,129.0,109.35392049821222,-5.4650234270185445,25.111102928806318
2020-07,105.0,112.33742329301143,-8.173002814329449,0.8355795213180244
2020-08,128.0,115.32468227487101,9.659757587573718,3.015560137555269
2020-09,127.0,118.32069736579258,6.92183756267723,1.7574650715301914
2020-10,109.0,121.29850822451428,-11.594120146824608,-0.7043880776896714
2020-11,125.0,124.23939829537836,4.5861109465673024,-3.8255092419456673
2020-12,139.0,127.13781334634719,10.168825912319885,1.6933607413329383
2021-01,118.0,130.00116774144593,-8.295653626655598,-3.7055141147903328
2021-02,106.0,132.85720457537434,-1.777683746125589,-25.07952082924875
2021-03,130.0,135.73646984938318,-6.557925391418166,0.8214555420349825
2021-04,147.0,138.61277283424144,5.419796748390647,2.967430417367922
2021-05,140.0,141.47017568597533,-0.6934698967053148,-0.7767057892700109
2021-06,134.0,144.30047831495486,-11.218068744374289,0.9175904294194197
2021-07,143.0,147.065034709968,0.28533890970010556,-4.35037361966809
2021-08,159.0,149.74528748407374,6.888761108051877,2.365951407874377
2021-09,131.0,152.4082444891692,10.607574061191487,-32.01581855036068
2021-10,153.0,155.18982234435725,-12.083315462362414,9.893493118005154
2021-11,188.0,158.12125675769414,11.678885042792498,18.199858199513358
2021-12,176.0,161.21620405058906,14.805365518440116,-0.02156956902916818
2022-01,148.0,164.4210762077486,-11.568319291755257,-4.8527569159933535
2022-02,135.0,167.65259901194082,-5.86980452812695,-26.78279448381386
2022-03,187.0,170.873856805777,-11.602323670806971,27.728466865029986
2022-04,174.0,174.0819057059088,5.064104145853813,-5.146009851762614
2022-05,185.0,177.2866380175655,-6.840251792046923,14.55361377448142
2022-06,175.0,180.51401974339697,-3.0514314335200785,-2.4625883098769066
2022-07,198.0,183.73613757843785,7.910600164187752,6.353262257374411
2022-08,207.0,186.88884801378805,2.293053640734485,17.818098345477466
2022-09,207.0,189.9044049583326,12.937374392889437,4.158220648777956
2022-10,181.0,192.6774076974663,-13.318171760888365,1.6407640634220684
2022-11,221.0,195.07165006598706,18.08060739708964,7.847742536923306
2022-12,240.0,197.1035850422248,9.625785581109247,33.27062937666594
2023-01,195.0,198.9122848479486,-10.654964615238665,6.7426797672900705
2023-02,189.0,200.54783786620956,-11.70362844587655,0.15579057966698429
2023-03,214.0,201.96961170036124,-14.836323449898476,26.866711749537245
2023-04,210.0,203.20058612212225,4.397000726239136,2.4024131516386262
2023-05,198.0,204.2314838428734,-13.958672006870843,7.727188163997454
2023-06,214.0,205.1088815089368,11.049413386912457,-2.1582948958492523
2023-07,221.0,205.84443587218553,20.530370154214157,-5.374806026399682
2023-08,201.0,206.41676567181017,-1.4307771391848845,-3.985988532625271
2023-09,219.0,206.8810372187443,7.4547094057725065,4.6642533754831845
2023-10,191.0,207.31037868356097,-15.743588173261134,-0.5667905102998247
2023-11,227.0,207.7247740007119,9.913404913391298,9.361821085896793
2023-12,257.0,208.13719989655797,8.919114067516041,39.94368603592599
2024-01,181.0,208.5512789716274,-10.476570361313414,-17.07470861031399
2024-02,204.0,208.9097359610425,-7.795780183091788,2.886044222049293
2024-03,189.0,208.95414530157856,-16.778548041202825,-3.1755972603757243
2024-04,222.0,208.57498030562056,3.771919115696204,9.65310057868325
2024-05,187.0,208.00469710076487,-20.545761767113124,-0.45893533365173766
2024-06,204.0,207.3743838572325,25.496855537653634,-28.871239394886118
2024-07,218.0,206.6472552936786,32.504726245968826,-21.15198153964741
2024-08,205.0,205.8123606078791,-5.683108080464536,4.870747472585435
2024-09,187.0,204.90208208768297,0.978722606415237,-18.880804694098202
2024-10,210.0,203.99826161231348,-18.46291359276656,24.464651980453084
2024-11,241.0,203.10858713433709,4.061097212813272,33.830315652849634
2024-12,206.0,202.19487441545337,7.810644646129359,-4.005519061582731
2025-01,192.0,201.16824931466002,-10.085718499124475,0.9174691844644656
2025-02,197.0,199.9789000922509,-5.976059277734541,2.997159185483639
2025-03,181.0,198.69795009746662,-17.464507354186885,-0.23344274327973835
2025-04,199.0,197.37196224345323,3.303400408758471,-1.675362652211703
2025-05,168.0,196.0683471352301,-27.406384492219807,-0.6619626430102983
2025-06,237.0,194.7677953117267,40.28817224466707,1.9440324436062326
2025-07,240.0,193.4752310269111,44.67519285613335,1.8495761169555465
2025-08,182.0,192.18694595524806,-9.589930104007578,-0.5970158512404851
2025-09,183.0,190.89899746918488,-6.17886669624229,-1.720130772942582
2025-10,169.0,189.60946318033263,-21.109131337803337,0.49966815747072246
2025-11,183.0,188.3180295848368,-3.1894426669911176,-2.128586917845695
2025-12,197.0,187.02490579965433,6.783677223367067,3.191416976978587
2026-01,175.0,185.73088533398334,-9.833156764957467,-0.8977285690258725
2026-02,178.0,184.43582028664173,-4.275346611978851,-2.1604736746628816
2026-03,168.0,183.1400279665777,-16.974803915451194,1.8347759488734994
