month,yhat,yhat_lower,yhat_upper,trend,yearly
2013-01-01,-19.962249314880694,-53.45849398745201,11.637576866019742,-15.868523339,-4.093725975880694
2013-10-01,-12.645522944711336,-43.916241410075905,21.103609829079822,-5.818746061508841,-6.826776883202496
2013-11-01,2.3737193371785485,-29.367824386096377,34.39989458559891,-4.677562561134389,7.051281898312937
2013-12-01,3.5476532973779946,-27.63545105913347,38.37754150744168,-3.5731914317397555,7.12084472911775
2014-01-01,-7.068028104361597,-39.23732978334768,23.676560879064603,-2.432007931365299,-4.6360201729962975
2014-02-01,-10.226923937831424,-42.085846715556656,21.53761230117078,-1.2908244309908465,-8.936099506840577
2014-03-01,-2.5262593471640424,-34.02839641908396,29.609864967754085,-0.26007804355585507,-2.2661813036081875
2014-04-01,-0.13134284179567968,-33.1506594599182,33.040328120932784,0.8811054568185976,-1.0124482986142773
2014-05-01,-2.3235953101444307,-32.7901024427938,29.970761059433862,1.9854765862132289,-4.3090718963576595
2014-06-01,8.5885101071095,-25.91706564969958,41.14784855141498,3.126660086587687,5.461850020521812
2014-07-01,15.875752379477909,-17.830770210570627,47.878561652573474,4.231031215982318,11.644721163495591
2014-08-01,6.10265606785913,-25.825560803727154,39.05405630157042,5.372214716356773,0.730441351502358
2014-09-01,4.323619292917012,-27.696768121668285,36.4342154340897,6.513398216731224,-2.189778923814211
2014-10-01,-1.263458043357188,-34.62378475552111,32.40253821215475,7.617769346125858,-8.881227389483046
2014-11-01,14.405887801423457,-18.588224835494803,45.464210977662795,8.758952846500312,5.646934954923146
2014-12-01,18.66895484895824,-12.15120049230455,51.68791343863778,9.863323975894943,8.805630873063297
2015-01-01,5.83363801132588,-27.182768612228692,36.48743706216414,11.004507476269401,-5.170869464943521
2015-02-01,4.46824635154202,-25.37624651126698,35.840606826829756,12.145690976643852,-7.677444625101832
2015-03-01,11.756044142148884,-19.084224476235416,42.48151002930402,13.176437364078843,-1.4203932219299586
2015-04-01,9.686127744688239,-23.940137151169,45.471195473961934,14.317620864453298,-4.631493119765058
2015-05-01,12.179740378621545,-20.195520706704333,46.72262856898413,15.42199199384793,-3.2422516152263845
2015-06-01,21.509381901170975,-10.032309443846612,51.876869604510425,16.563175494222385,4.9462064069485905
2015-07-01,32.82484329237575,0.7106026704258901,65.82536351259503,17.667546623617014,15.157296668758741
2015-08-01,15.911885789424185,-16.0222450754388,48.3162325325279,18.808730123991474,-2.8968443345672887
2015-09-01,20.81748508105597,-9.498099709698057,53.13850545468339,19.949913624365923,0.8675714566900461
2015-10-01,10.08061396613124,-21.54762504204221,42.04530967675858,21.054284753760555,-10.973670787629315
2015-11-01,26.47865427719192,-5.371007303434246,58.37567991086551,22.19546825413501,4.283186023056908
2015-12-01,33.811829025962936,2.234990706426063,66.54088104479652,23.299839383529644,10.511989642433289
2016-01-01,18.74253683255053,-14.827057986541345,50.37762330202373,24.441022883904104,-5.698486051353572
2016-02-01,19.17186291613937,-11.507592495836839,52.77031664339996,25.582206384278553,-6.410343468139182
2016-03-01,22.49293958778894,-10.600889177153462,53.52848615002494,26.649765142693365,-4.156825554904425
2016-04-01,33.99384837061717,1.7128006144913248,63.40203494373762,27.79094864306782,6.202899727549352
2016-05-01,22.61810796497917,-8.187431848533576,55.28913004902056,28.895319772462447,-6.277211807483277
2016-06-01,36.649073437143144,6.623825459627147,69.66217584589351,30.036503272836903,6.612570164306245
2016-07-01,35.643536749304545,2.400829413982587,64.66306017994974,31.140874402231542,4.502662347073
2016-08-01,40.211533208573485,8.637458686671087,71.60624764506404,32.282057902606,7.929475305967483
2016-09-01,25.125241108576333,-3.2974156877608136,56.786228005088105,33.42324140298045,-8.298000294404119
2016-10-01,29.715221731393225,-1.9126780837877,61.15998016249477,34.52761253237509,-4.812390800981864
2016-11-01,44.16329276215088,13.58654831725805,75.36832664785287,35.66879603274954,8.494496729401343
2016-12-01,42.23222810986885,9.274074984801963,75.6653877619966,36.77316716214416,5.459060947724689
2017-01-01,33.82062468664752,2.8496494892634385,67.3160451426461,37.914350662518615,-4.093725975871096
2017-02-01,28.870988080611234,-3.3161907317703605,61.81098747550075,39.055534162893075,-10.184546082281843
2017-03-01,36.90784938350177,4.796807795016909,71.84639384790177,40.08628055032806,-3.1784311668262935
2017-04-01,43.827763464710685,11.795775818846312,77.78892042330476,41.22746405070253,2.6002994140081577
2017-05-01,37.01105773946116,3.7967836349677846,69.261627345427,42.33183518009715,-5.320777440635991
2017-06-01,49.49012880644426,18.86349340578597,80.78057441648286,43.473018680471604,6.017110125972659
2017-07-01,52.669503179989306,19.742602515911365,85.91489272167703,44.57738980986624,8.092113370123064
2017-08-01,50.058589476677504,15.58537102222538,83.00851127149346,45.71857331024069,4.340016166436812
2017-09-01,41.61412143256265,9.364723340867313,74.98754934199943,46.85975681061514,-5.245635378052489
2017-10-01,42.2777283032081,10.114863578253216,75.48146588520979,49.10450518642126,-6.8267768832131575
2017-11-01,58.47536040642143,26.55200625918362,91.882860541842,51.4240785080876,7.051281898333837
2017-12-01,60.789671613009595,29.734281132796806,94.80896639091196,53.6688268838937,7.120844729115892
2018-01-01,51.352380032562934,21.466807035693165,80.40138588123015,55.98840020556001,-4.6360201729970765
2018-02-01,49.37187402036954,18.850654457998676,81.01114802500241,58.30797352722632,-8.936099506856785
2018-03-01,58.13689070771752,27.289910252306157,89.49063196958663,60.40307201131206,-2.2661813035945415
2018-04-01,61.710197034359446,27.186798301661646,95.3516150434496,62.722645332978374,-1.0124482986189287
2018-05-01,60.65832181242785,27.650812765302565,92.33191246172247,64.96739370878447,-4.309071896356622
2018-06-01,72.74881705097472,42.2562922192527,104.45867970658396,67.28696703045078,5.461850020523942
2018-07-01,81.17643656975555,48.07095502791907,115.26170808342926,69.53171540625692,11.644721163498634
2018-08-01,72.58173007939686,39.104771455708885,104.46448231570382,71.85128872792323,0.7304413514736255
2018-09-01,71.98108312577641,39.865303583914056,104.0836448002563,74.17086204958954,-2.1897789238131353
2018-10-01,67.53438303591855,37.692163795648895,101.50220406948675,76.41561042539567,-8.881227389477122
2018-11-01,84.38211870198933,51.55482736409065,117.13485748588019,78.73518374706201,5.646934954927311
2018-12-01,89.78556299594487,56.80552112549434,120.91241058527608,80.97993212286812,8.805630873076746
2019-01-01,78.12863597960121,48.66437802946808,110.79372880169215,83.29950544453443,-5.170869464933213
2019-02-01,77.94163414107119,47.25822234329467,111.24844240230415,85.61907876620074,-7.677444625129555
2019-03-01,86.29378402834026,54.29398087701694,117.33799661300348,87.71417725028648,-1.420393221946233
2019-04-01,85.40225745219861,53.885730303071796,116.53599947411709,90.0337505719528,-4.631493119754177
2019-05-01,89.03624733254205,57.51725659730677,122.87114107674687,92.27849894775889,-3.242251615216844
2019-06-01,99.54427867634914,67.16881837083561,130.717806050857,94.5980722694252,4.946206406923931
2019-07-01,112.00011731396292,80.11206249002616,143.1514607372458,96.84282064523134,15.15729666873157
2019-08-01,96.26554963228106,63.29741477879568,128.28855055256196,99.16239396689765,-2.896844334616586
2019-09-01,102.34953874526829,71.8442168922141,138.88799701761445,101.481967288564,0.8675714567042929
2019-10-01,92.75304487673799,61.77509377232715,126.09207391292273,103.72671566437009,-10.973670787632106
2019-11-01,110.3294750090888,76.953783325619,142.25996413413097,106.0462889860364,4.2831860230524
2019-12-01,118.80302700429996,88.35310599001453,154.4166150218202,108.29103736184253,10.511989642457436
2020-01-01,104.91212463215452,75.03603498832591,136.5751519655073,110.61061068350885,-5.698486051354339
2020-02-01,106.51984053702785,73.72214387360006,137.6210448532033,112.93018400517516,-6.410343468147312
2020-03-01,110.94328188021319,78.3001872019889,141.1496308139153,115.1001074351211,-4.156825554907914
2020-04-01,123.62258048432491,91.15104194586962,152.06254043419415,117.41968075678739,6.20289972753752
2020-05-01,113.38721732511058,78.87888009439506,147.0710352396207,119.66442913259353,-6.277211807482945
2020-06-01,128.5965726185589,94.72535203647719,157.98561611961128,121.98400245425987,6.612570164299033
2020-07-01,128.7314131771439,95.01034004127816,161.82761311152316,124.22875083006596,4.502662347077938
2020-08-01,134.4777994576854,103.63200459194765,167.43187217642514,126.54832415173229,7.9294753059531065
2020-09-01,120.5698971795434,89.43624943317651,152.39781340712062,128.8678974739248,-8.298000294381415
2020-10-01,126.30025504925602,95.31455565866464,157.6322288962918,131.11264585024014,-4.812390800984123
2020-11-01,141.9267159018272,109.20777455503055,173.2193695278177,133.43221917243267,8.494496729394548
2020-12-01,141.13602849646736,110.57067854220942,172.58658745932902,135.676967548748,5.459060947719361
2021-01-01,133.90281489506847,101.73378207301229,166.46595112827254,137.99654087094052,-4.093725975872052
2021-02-01,130.1315681108672,95.69769573926799,163.5202869188945,140.31611419313302,-10.184546082265832
2021-03-01,139.2327815108696,107.32176303792247,168.78933082962934,142.41121267769404,-3.178431166824453
2021-04-01,147.33108541392096,117.03400355866117,180.39820817229364,144.73078599988654,2.600299414034432
2021-05-01,141.65475693555553,113.33322520216907,175.39431568962868,146.97553437620186,-5.320777440646331
2021-06-01,155.31221782435122,122.24128833867609,185.44072103518175,149.29510769839442,6.017110125956795
2021-07-01,159.63196944481356,126.76019254615781,194.2152820143835,151.53985607470975,8.09211337010382
2021-08-01,158.19944556332067,123.8401065591147,192.3974598217273,153.85942939690224,4.340016166418412
2021-09-01,150.93336734104724,118.28596457827831,182.824666946188,156.1790027190948,-5.245635378047547
2021-10-01,151.59697421219906,120.48223517481833,183.65567636722653,158.42375109541013,-6.826776883211063
2021-11-01,167.7946063159309,135.73396225958095,201.6259995764407,160.74332441760262,7.051281898328291
2021-12-01,170.10891752304414,139.38076783043184,203.5274694887852,162.988072793918,7.120844729126146
2022-01-01,160.6716259431167,129.0635302996621,194.77996007613447,165.30764611611053,-4.636020172993824
2022-02-01,158.69111993144296,125.29562145417026,188.27226555375796,167.627219438303,-8.93609950686004
2022-03-01,167.4561366192524,134.5787471584567,198.88891583531068,169.722317922864,-2.2661813036116008
2022-04-01,171.02944294644664,139.61145781744858,206.58089927395096,172.04189124505652,-1.012448298609873
2022-05-01,169.97756772501685,137.15210730306907,203.6640383259744,174.28663962137188,-4.309071896355013
2022-06-01,182.06806296410196,150.78553940895472,216.12302833449743,176.6062129435644,5.461850020537544
2022-07-01,190.4956824833881,157.6433643622221,221.73508868707333,178.85096131987973,11.644721163508374
2022-08-01,180.353378553354,147.15951900987594,212.9077117642224,179.6229372018538,0.7304413515001787
2022-09-01,178.2051341600213,147.79550373049065,210.57241334598294,180.3949130838279,-2.189778923806619
2022-10-01,172.26075912851223,139.29141717182992,205.49899360905988,181.14198651799634,-8.881227389484117
2022-11-01,187.56089735489326,155.9707938131917,217.66692673200208,181.91396239997047,5.646934954922782
2022-12-01,191.46666670720535,161.50291029819414,223.31605731636265,182.66103583413891,8.805630873066441
2023-01-01,178.2621422511678,145.86050708612072,208.7183135157015,183.43301171611301,-5.170869464945214
2023-02-01,176.52754297298821,144.66495482139607,209.80729447808608,184.20498759808711,-7.677444625098886
2023-03-01,183.4818629147064,150.5433685603839,214.48279437934667,184.90225613664433,-1.42039322193793
2023-04-01,181.04273889885735,151.07994408805675,215.37562676448297,185.67423201861845,-4.631493119761102
2023-05-01,183.17905383756982,151.37292051835496,213.88983707702542,186.42130545278692,-3.2422516152171044
2023-06-01,192.13948774171604,159.48929759401875,223.55898272229075,187.193281334761,4.946206406955039
2023-07-01,203.0976514376735,171.52663915933118,235.44377514029068,187.94035476892947,15.157296668744024
2023-08-01,185.8154863163253,155.01691353925332,217.15559592324007,188.71233065090357,-2.8968443345782706
2023-09-01,190.35187798956093,158.03296694689746,222.29090226488645,189.48430653287764,0.867571456683307
2023-10-01,179.25770917941819,149.132745085302,212.92314214018393,190.2313799670461,-10.973670787627926
2023-11-01,195.2865418720777,161.58497632759827,225.64285326820246,191.00335584902018,4.283186023057521
2023-12-01,202.26241892562365,168.54363977100297,234.16587379358288,191.75042928318865,10.511989642434996
2024-01-01,186.82391911380586,153.83449697192242,219.4736791151076,192.52240516516278,-5.698486051356921
2024-02-01,186.88403757899073,154.75732242009238,219.22120026091787,193.29438104713685,-6.410343468146128
2024-03-01,189.85972647859168,157.51405994047806,220.83798115180244,194.01655203349972,-4.1568255549080275
2024-04-01,200.99142764303897,170.97217193268176,233.73335433801032,194.7885279154738,6.20289972756517
2024-05-01,189.25838954216997,158.33061614431597,221.0692126999816,195.5356013496423,-6.277211807472331
2024-06-01,202.92014739593068,170.96573788779017,236.24869596059156,196.30757723161634,6.612570164314344
2024-07-01,201.55731301284314,168.98223428885993,233.13334002508867,197.05465066578483,4.5026623470582985
2024-08-01,205.75610185372224,172.68503020978582,236.08937921970823,197.8266265477589,7.929475305963323
2024-09-01,190.30060213531965,157.92543957037816,220.93178866920442,198.598602429733,-8.29800029441337
2024-10-01,194.53328506293823,162.07025774526312,226.97371472763493,199.34567586390148,-4.812390800963242
2024-11-01,208.61214847529817,175.4664617728142,242.34292089621877,200.11765174587555,8.494496729422615
2024-12-01,206.32378612775898,173.93397761762367,237.77570568197714,200.86472518004402,5.459060947714946
2025-01-01,197.54297508615966,166.610963715029,231.01722329636743,201.63670106201815,-4.093725975858495
2025-02-01,192.22413086172003,161.63459557090715,226.79335405542216,202.4086769439922,-10.184546082272167
2025-03-01,199.9275143157258,169.14868564187353,229.9727795655425,203.10594548254946,-3.1784311668236542
2025-04-01,206.47822077855366,172.26706929768062,240.79159373131338,203.87792136452353,2.6002994140301414
2025-05-01,199.3042173580665,166.54425273594654,231.7806988331636,204.624994798692,-5.3207774406255055
2025-06-01,211.41408080662828,177.5705645310555,243.4723646888947,205.3969706806661,6.017110125962173
2025-07-01,214.23615748494308,183.15401192136636,245.4272838246625,206.1440441148346,8.09211337010849
2025-08-01,211.25603616324184,178.87731827093387,244.01435956842386,206.91601999680864,4.340016166433208
2025-09-01,202.44236050072982,168.97797516078828,237.9212169896206,207.68799587878274,-5.245635378052925
2025-10-01,201.60829242973946,168.7392889811884,231.82976576813635,208.4350693129512,-6.8267768832117515
2025-11-01,216.2583270932596,182.55480197258248,249.97723049521827,209.2070451949253,7.05128189833429
2025-12-01,217.07496335819081,185.7001273926108,249.68095609053194,209.95411862909378,7.120844729097032
2026-01-01,206.09007433805567,174.31800804829922,237.61924542423378,210.72609451106786,-4.63602017301217
2026-02-01,202.56197088618336,171.3946009695125,237.19698947016028,211.49807039304198,-8.936099506858623
2026-03-01,209.92915762799623,177.62002594598138,243.62499506003564,212.1953389315992,-2.2661813036029517
2026-04-01,211.95486651495847,179.07861424223702,245.1762590403381,212.9673148135733,-1.012448298614839
2026-05-01,209.40531635137748,177.58758613206092,241.4865493550549,213.71438824774177,-4.309071896364283
2026-06-01,219.94821415024305,186.92381941646784,251.42389545938275,214.48636412971587,5.461850020527173
2026-07-01,226.87815872738489,195.6205452868131,260.59712390812336,215.2334375638843,11.64472116350058
2026-08-01,216.7358547973578,182.5494584537572,248.70206027967436,216.0054134458584,0.7304413514993906
2026-09-01,214.58761040401384,182.92685925284744,243.47238116973506,216.77738932783248,-2.1897789238186367
2026-10-01,208.643235372508,173.8635545407664,241.25322271915405,217.52446276200098,-8.881227389492985
2026-11-01,223.94337359889408,191.72356177135808,255.62968867394412,218.29643864397505,5.646934954919018
2026-12-01,227.8491429512223,197.24068562118447,261.55692343572645,219.0435120781435,8.805630873078787
